id,year,state_name,state_code,district_name,district_code,block_name,block_code,village_name,village_code,nutrient_type,nutrient_name,nutrient_level,value
0,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Electrical Conductivity,Non Saline,15
1,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Electrical Conductivity,Saline,11
2,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Nitrogen,High,0
3,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Nitrogen,Low,2
4,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Nitrogen,Medium,24
5,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Organic Carbon,High,0
6,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Organic Carbon,Low,26
7,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Organic Carbon,Medium,0
8,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Phosphorus,High,0
9,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Phosphorus,Low,9
10,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Phosphorus,Medium,17
11,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Potassium,High,0
12,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Potassium,Low,12
13,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Potassium,Medium,14
14,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Soil Ph,Acidic,4
15,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Soil Ph,Alkaline,0
16,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Macro,Soil Ph,Neutral,22
17,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Boron,Deficient,0
18,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Boron,Sufficient,26
19,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Copper,Deficient,0
20,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Copper,Sufficient,26
21,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Iron,Deficient,0
22,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Iron,Sufficient,26
23,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Manganese,Deficient,0
24,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Manganese,Sufficient,26
25,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Sulphur,Deficient,26
26,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Sulphur,Sufficient,0
27,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Zinc,Deficient,0
28,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,Govinda Nagar,645199,Micro,Zinc,Sufficient,26
29,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Electrical Conductivity,Non Saline,7
30,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Electrical Conductivity,Saline,0
31,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Nitrogen,High,0
32,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Nitrogen,Low,7
33,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Nitrogen,Medium,0
34,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Organic Carbon,High,0
35,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Organic Carbon,Low,7
36,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Organic Carbon,Medium,0
37,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Phosphorus,High,0
38,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Phosphorus,Low,7
39,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Phosphorus,Medium,0
40,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Potassium,High,0
41,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Potassium,Low,7
42,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Potassium,Medium,0
43,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Soil Ph,Acidic,0
44,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Soil Ph,Alkaline,0
45,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Macro,Soil Ph,Neutral,7
46,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Boron,Deficient,0
47,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Boron,Sufficient,7
48,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Copper,Deficient,0
49,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Copper,Sufficient,7
50,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Iron,Deficient,0
51,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Iron,Sufficient,7
52,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Manganese,Deficient,0
53,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Manganese,Sufficient,7
54,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Sulphur,Deficient,7
55,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Sulphur,Sufficient,0
56,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Zinc,Deficient,0
57,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Arong,645015,Micro,Zinc,Sufficient,7
58,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Electrical Conductivity,Non Saline,9
59,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Electrical Conductivity,Saline,0
60,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Nitrogen,High,0
61,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Nitrogen,Low,6
62,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Nitrogen,Medium,3
63,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Organic Carbon,High,0
64,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Organic Carbon,Low,9
65,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Organic Carbon,Medium,0
66,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Phosphorus,High,0
67,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Phosphorus,Low,7
68,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Phosphorus,Medium,2
69,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Potassium,High,0
70,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Potassium,Low,7
71,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Potassium,Medium,2
72,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Soil Ph,Acidic,0
73,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Soil Ph,Alkaline,0
74,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Macro,Soil Ph,Neutral,9
75,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Micro,Boron,Deficient,0
76,2023-24,Andaman And Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,Big Lapati,645025,Micro,Boron,Sufficient,9
